simulation,mean_words,question_percent
494,115.52444444444444,35.55555555555556
495,77.79555555555555,29.777777777777775
496,134.77777777777777,29.333333333333332
497,117.8488888888889,36
498,49.43555555555555,29.777777777777775
499,54.76,32.44444444444444
500,44.64888888888889,28.444444444444443
501,49.373333333333335,28.444444444444443
502,80.55555555555556,32.44444444444444
503,82.00444444444445,28.000000000000004
504,78.09333333333333,34.22222222222222
505,193.36888888888888,32.88888888888889
506,78.01333333333334,34.22222222222222
507,147.00444444444443,28.000000000000004
508,60.12888888888889,33.77777777777778
509,83.30666666666667,36.888888888888886
510,73.89333333333333,35.55555555555556
511,83.76444444444445,32
512,44.03111111111111,33.33333333333333
513,49.42666666666667,29.333333333333332
514,58.64888888888889,32
515,42.782222222222224,30.666666666666664
516,88.34222222222222,29.333333333333332
517,84.39555555555556,36.888888888888886
518,78.24,32.44444444444444
519,84.06222222222222,34.22222222222222
520,110.2088888888889,34.66666666666667
521,49.897777777777776,28.000000000000004
522,105.10666666666667,37.333333333333336
523,79.52444444444444,30.666666666666664
524,127.13333333333334,36.888888888888886
525,113.44888888888889,25.333333333333336
526,48.53777777777778,36.44444444444444
527,82.35555555555555,32
528,77.94666666666667,33.77777777777778
529,223.25333333333333,35.11111111111111
530,81.00888888888889,32
531,112.77777777777777,29.333333333333332
532,45.977777777777774,29.777777777777775
533,147.62666666666667,34.22222222222222
534,80.00444444444445,29.333333333333332
535,52.08444444444444,37.77777777777778
536,43.28888888888889,29.333333333333332
537,42.32,28.444444444444443
538,78.8711111111111,30.22222222222222
539,47.46666666666667,29.777777777777775
540,57.42666666666667,32
541,75.58222222222223,37.77777777777778
542,39.87555555555556,28.000000000000004
543,75.6,30.666666666666664
544,40.413333333333334,30.666666666666664
545,113.60888888888888,32.44444444444444
546,116.90222222222222,35.55555555555556
547,127.98666666666666,33.77777777777778
548,34.297777777777775,35.11111111111111
549,117.68888888888888,29.777777777777775
550,147.83555555555554,34.66666666666667
551,52.67111111111111,29.777777777777775
552,53.88444444444445,32
553,79.03111111111112,33.33333333333333
554,92.06222222222222,33.77777777777778
555,54.63111111111111,32.88888888888889
556,39.81777777777778,33.33333333333333
557,59.76,29.333333333333332
558,78.11111111111111,26.666666666666668
559,71.88,30.22222222222222
560,179.8088888888889,31.11111111111111
561,44.102222222222224,32
562,41.217777777777776,31.555555555555554
563,124.41777777777777,29.333333333333332
564,150.28,28.888888888888886
565,192.26666666666668,31.11111111111111
566,116.49333333333334,33.33333333333333
567,54.88,30.666666666666664
568,140.98222222222222,30.666666666666664
569,50.86666666666667,31.555555555555554
570,50.96,32
571,44.666666666666664,29.777777777777775
572,94.09333333333333,32
573,47.56,37.77777777777778
574,41.44888888888889,28.000000000000004
575,183.92888888888888,36
576,46.75555555555555,30.666666666666664
577,40.37777777777778,34.66666666666667
578,54.50222222222222,29.777777777777775
579,48.635555555555555,32.44444444444444
580,186.01777777777778,32.44444444444444
581,106.96444444444444,28.888888888888886
582,48.577777777777776,36.888888888888886
583,120.10222222222222,28.000000000000004
584,148.20888888888888,34.22222222222222
585,115.53333333333333,32.44444444444444
586,112.5111111111111,32.88888888888889
587,47.16888888888889,32.88888888888889
588,75.74666666666667,31.11111111111111
589,151.27555555555554,32.88888888888889
590,113.36,30.22222222222222
591,58.67111111111111,34.22222222222222
592,45.50666666666667,33.77777777777778
593,43.52444444444444,32
594,47.60444444444445,26.222222222222225
595,116.90666666666667,32.88888888888889
596,158.42222222222222,34.22222222222222
597,48.31111111111111,32.88888888888889
598,124.70222222222222,28.888888888888886
599,77.40444444444445,29.777777777777775
600,45.955555555555556,32.44444444444444
601,38.61333333333334,33.33333333333333
602,81.94222222222223,28.888888888888886
603,93.99555555555555,29.333333333333332
604,76.17777777777778,33.77777777777778
605,54.67111111111111,29.777777777777775
606,40.653333333333336,34.22222222222222
607,149.06666666666666,35.55555555555556
608,50.47555555555556,35.55555555555556
609,42.58222222222222,36.888888888888886
610,48.01777777777778,27.555555555555557
611,83.40444444444445,31.555555555555554
612,81.06666666666666,33.77777777777778
613,116.96444444444444,34.22222222222222
614,47.284444444444446,31.11111111111111
615,46.47555555555556,33.77777777777778
616,40.28888888888889,29.333333333333332
617,42.15555555555556,31.555555555555554
618,123.60444444444444,28.444444444444443
619,59.986666666666665,34.66666666666667
620,55.75111111111111,32.88888888888889
621,79.4,32.44444444444444
622,47.004444444444445,32.44444444444444
623,94.69333333333333,34.66666666666667
624,117.87555555555555,34.22222222222222
625,77.48444444444445,30.666666666666664
626,40.586666666666666,34.66666666666667
627,108.24444444444444,38.22222222222222
628,83.19111111111111,26.222222222222225
629,47.94222222222222,37.333333333333336
630,120.13333333333334,32.44444444444444
631,54.617777777777775,32
632,50.23555555555556,28.888888888888886
633,120.16,28.444444444444443
634,53.96888888888889,29.333333333333332
635,52.733333333333334,31.555555555555554
636,82.81333333333333,30.22222222222222
637,109.58222222222223,30.22222222222222
638,41.626666666666665,33.33333333333333
639,87.38222222222223,29.777777777777775
640,86.5911111111111,30.22222222222222
641,81.76,28.444444444444443
642,53.82222222222222,32.88888888888889
643,47.6,28.444444444444443
644,40.16,30.666666666666664
645,121.36444444444444,31.11111111111111
646,44.29333333333334,28.444444444444443
647,77.15555555555555,33.77777777777778
648,50.324444444444445,28.000000000000004
649,38.64888888888889,32.88888888888889
650,74.51555555555555,24.88888888888889
651,79.66222222222223,29.333333333333332
652,44.83555555555556,37.77777777777778
653,110.36888888888889,32
654,50.60444444444445,32.88888888888889
655,92.32444444444444,34.66666666666667
656,43.324444444444445,35.11111111111111
657,47.22666666666667,32
658,46.95111111111111,26.222222222222225
659,61.85333333333333,32.88888888888889
660,54.14222222222222,30.22222222222222
661,55.99111111111111,29.777777777777775
662,144.5822222222222,31.555555555555554
663,47.60888888888889,33.33333333333333
664,110.49777777777778,33.77777777777778
665,85.27555555555556,32
666,151.35555555555555,33.77777777777778
667,117.10222222222222,27.555555555555557
668,68.91111111111111,30.666666666666664
669,92.70666666666666,29.333333333333332
670,121.83111111111111,34.66666666666667
671,85.47111111111111,29.333333333333332
672,87.42222222222222,32
673,86.64,35.11111111111111
674,50.90222222222222,32
675,41.80444444444444,36
676,81.93333333333334,30.22222222222222
677,43.62222222222222,35.11111111111111
678,75.72,31.555555555555554
679,128.65777777777777,30.22222222222222
680,89.88444444444444,36.888888888888886
681,58.56,30.666666666666664
682,114.48,33.33333333333333
