speaker,text,words,contains_question
JUSTICE KAGAN,"But what Badgerow also said, it said something like jurisdiction to decide a case includes jurisdiction to decide a motion in a case.    And isn't that what we have here? And Badgerow distinguished that from using the look-through method.     It's just saying, if you have jurisdiction over a case, you have jurisdiction over the motions in the case.    That seems pretty -- you know, just a truism.    And isn't that what's involved here?",73,TRUE
MR. UNIKOWSKY,"I don't think so because the court has jurisdiction to decide motions.    It's just not necessarily every single motion that would result in the court entering a judgment that exceeds its jurisdiction, because the judgment that Respondents are asking the court to enter is not merely a judgment of dismissal, which, of course, the court can do.     It's essentially transforming the arbitration award into a judgment which would allow Respondents to enlist the court to execute the judgment against --",80,FALSE
JUSTICE KAGAN,"Well, so explain that. What category of motions should not be included in the statement of, if you have jurisdiction over a case, you have jurisdiction over the motions in a case?    What category of motions is excluded from that?",40,TRUE
MR. UNIKOWSKY,"Motions that would cause the court to enter a judgment that the court doesn't have jurisdiction to enter because, in this case, the court undoubtably had jurisdiction to dismiss Petitioner's suit based on the fact that an arbitration award existed. What the court didn't have jurisdiction to do is enter an award in what was essentially a breach-of-contract suit that was beyond the court's jurisdiction.     So, absolutely, the court could have dismissed the claim, but we think there's a difference between dismissal of a claim and transforming what is fundamentally a contract dispute into a judgment when the court lacks jurisdiction over that case.",104,FALSE
JUSTICE JACKSON,"But the question -- that's begging the question, I think, because isn't the purpose of Section 9 to give the court the ability to do that, to say that that's exactly what is supposed to happen? I mean, I -- I've been a little confused by some of the things -- the representations that you made.   You suggested that the vast number of arbitrations are not subject to ""confirm and vacate proceedings."" And, I guess, to the extent that you're suggesting that there won't be a dispute about whether or not the award is to be confirmed, that's true. But, in most cases, when you have an arbitration, isn't there a circumstance in which some court, whether the federal court or the state court, is asked to convert the award into a judgment so that it can ultimately be enforced?",140,TRUE
MR. UNIKOWSKY,"No, that's actually quite rare, Your Honor.   The vast majority of arbitration awards do not result in subsequent judicial proceedings because it's so hard to vacate an arbitration award that in almost every case the parties adhere to the award. Usually, when the defendant wins the arbitration, you know, usually, the defendant doesn't come to court to confirm because the arbitration award itself generally has res judicata effect.",68,FALSE
JUSTICE JACKSON,"All right.   But, in a situation, this goes back to Justice Thomas's initial question in which we already have a preexisting lawsuit related to these parties, related to an underlying dispute that then gets resolved by arbitration, it seems peculiar, I think, that you would suggest that Congress set these rules up to insist that another court be involved in confirming that award so as to close out the initial case. I mean, the -- the -- the circumstances -- you -- you would, I think, have to agree that when we have a existing lawsuit that was stayed for the purpose of arbitration, it can't be one of the situations in which the arbitration can happen and everybody goes off into the sunset and the original court doesn't know what happened.    So there has to be some closure to this. And I think, under your rule, the closure you're positing comes from another court confirming the award, and that just seems very odd.",164,FALSE
MR. UNIKOWSKY,"I don't think so, Your Honor.    So, first of all, I think that the closure happens when the award occurs and the parties come back to the federal court and say, look, we were able to resolve our dispute in arbitration.    There's no more pending claims. There's no partial substantive claims that were stayed.    The entire case is over.",59,FALSE
JUSTICE JACKSON,But you do agree they have to come back to the federal court? They can't just --,17,TRUE
MR. UNIKOWSKY,"Of course, they have to come back to the federal -- of course.",13,FALSE
